ep     1 | eps 0.90 | return   173.50 | HO   2.35 | HOF 68.21 | SE  2.05 | loss nan |      3s
ep    25 | eps 0.89 | return   168.31 | HO   2.43 | HOF 68.89 | SE  2.04 | loss 5.0254 |     78s
ep    50 | eps 0.88 | return   173.88 | HO   2.51 | HOF 67.89 | SE  2.05 | loss 0.5301 |    157s
ep    75 | eps 0.87 | return   191.80 | HO   2.59 | HOF 65.22 | SE  2.07 | loss 0.2124 |    235s
ep   100 | eps 0.86 | return   192.47 | HO   2.61 | HOF 65.05 | SE  2.07 | loss 0.1427 |    314s
ep   125 | eps 0.84 | return   188.80 | HO   2.64 | HOF 65.54 | SE  2.06 | loss 0.1118 |    393s
ep   150 | eps 0.83 | return   191.89 | HO   2.65 | HOF 65.10 | SE  2.07 | loss 0.1287 |    474s
ep   175 | eps 0.82 | return   203.21 | HO   2.70 | HOF 63.52 | SE  2.08 | loss 0.1440 |    553s
ep   200 | eps 0.81 | return   209.34 | HO   2.75 | HOF 62.30 | SE  2.09 | loss 0.1548 |    633s
ep   225 | eps 0.80 | return   214.10 | HO   2.71 | HOF 61.82 | SE  2.10 | loss 0.1542 |    713s
ep   250 | eps 0.79 | return   216.44 | HO   2.77 | HOF 61.35 | SE  2.10 | loss 0.1357 |    793s
ep   275 | eps 0.78 | return   221.32 | HO   2.89 | HOF 60.52 | SE  2.11 | loss 0.1164 |    873s
ep   300 | eps 0.77 | return   221.13 | HO   2.80 | HOF 60.59 | SE  2.10 | loss 0.1115 |    952s
ep   325 | eps 0.76 | return   224.50 | HO   2.72 | HOF 60.17 | SE  2.11 | loss 0.1250 |   1032s
ep   350 | eps 0.74 | return   223.99 | HO   2.75 | HOF 60.26 | SE  2.11 | loss 0.2559 |   1111s
ep   375 | eps 0.73 | return   224.89 | HO   2.79 | HOF 60.06 | SE  2.11 | loss 0.1967 |   1191s
ep   400 | eps 0.72 | return   229.54 | HO   2.88 | HOF 59.34 | SE  2.11 | loss 0.1048 |   1271s
ep   425 | eps 0.71 | return   236.91 | HO   3.05 | HOF 58.07 | SE  2.12 | loss 0.0866 |   1351s
ep   450 | eps 0.70 | return   240.96 | HO   3.01 | HOF 57.55 | SE  2.13 | loss 0.0905 |   1431s
ep   475 | eps 0.69 | return   239.55 | HO   2.89 | HOF 57.79 | SE  2.13 | loss 0.0859 |   1511s
