ep     1 | eps 0.90 | return   196.54 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   204.24 | HO   2.91 | HOF 63.07 | SE  2.08 | loss 21.9320 |     79s
ep    50 | eps 0.88 | return   203.18 | HO   2.80 | HOF 63.34 | SE  2.08 | loss 2.4584 |    159s
ep    75 | eps 0.87 | return   208.38 | HO   2.88 | HOF 62.47 | SE  2.09 | loss 0.5458 |    238s
ep   100 | eps 0.86 | return   206.22 | HO   2.95 | HOF 62.69 | SE  2.08 | loss 0.2341 |    319s
ep   125 | eps 0.84 | return   198.39 | HO   2.75 | HOF 64.03 | SE  2.08 | loss 0.1401 |    398s
ep   150 | eps 0.83 | return   204.69 | HO   2.82 | HOF 63.02 | SE  2.08 | loss 0.1739 |    478s
ep   175 | eps 0.82 | return   212.44 | HO   2.89 | HOF 61.80 | SE  2.09 | loss 0.2767 |    558s
ep   200 | eps 0.81 | return   214.43 | HO   2.94 | HOF 61.58 | SE  2.09 | loss 0.2819 |    638s
ep   225 | eps 0.80 | return   216.57 | HO   2.97 | HOF 61.12 | SE  2.09 | loss 0.2028 |    718s
ep   250 | eps 0.79 | return   217.22 | HO   2.96 | HOF 61.04 | SE  2.09 | loss 0.1821 |    798s
ep   275 | eps 0.78 | return   220.11 | HO   3.02 | HOF 60.44 | SE  2.10 | loss 0.1809 |    878s
ep   300 | eps 0.77 | return   219.59 | HO   2.92 | HOF 60.66 | SE  2.10 | loss 0.1761 |    958s
ep   325 | eps 0.76 | return   222.64 | HO   2.95 | HOF 60.25 | SE  2.10 | loss 0.1725 |   1038s
ep   350 | eps 0.74 | return   226.97 | HO   3.11 | HOF 59.39 | SE  2.11 | loss 0.1710 |   1118s
ep   375 | eps 0.73 | return   227.04 | HO   3.00 | HOF 59.61 | SE  2.10 | loss 0.1687 |   1198s
ep   400 | eps 0.72 | return   228.78 | HO   2.94 | HOF 59.39 | SE  2.11 | loss 0.1675 |   1278s
ep   425 | eps 0.71 | return   226.57 | HO   2.85 | HOF 59.64 | SE  2.11 | loss 0.1603 |   1358s
ep   450 | eps 0.70 | return   226.53 | HO   2.83 | HOF 59.82 | SE  2.11 | loss 0.2926 |   1437s
ep   475 | eps 0.69 | return   236.22 | HO   3.23 | HOF 58.18 | SE  2.12 | loss 0.1926 |   1518s
ep   500 | eps 0.68 | return   235.87 | HO   3.19 | HOF 58.16 | SE  2.12 | loss 0.2128 |   1598s
ep   525 | eps 0.67 | return   243.82 | HO   3.12 | HOF 56.80 | SE  2.13 | loss 0.3777 |   1678s
ep   550 | eps 0.66 | return   238.62 | HO   3.15 | HOF 57.63 | SE  2.12 | loss 0.3746 |   1757s
ep   575 | eps 0.64 | return   250.93 | HO   3.32 | HOF 55.63 | SE  2.13 | loss 0.1822 |   1837s
ep   600 | eps 0.63 | return   261.33 | HO   3.37 | HOF 54.10 | SE  2.15 | loss 0.1505 |   1917s
ep   625 | eps 0.62 | return   256.76 | HO   3.16 | HOF 54.91 | SE  2.14 | loss 0.1898 |   1997s
ep   650 | eps 0.61 | return   251.24 | HO   2.80 | HOF 55.85 | SE  2.14 | loss 0.1494 |   2077s
ep   675 | eps 0.60 | return   246.15 | HO   2.69 | HOF 56.70 | SE  2.13 | loss 0.1281 |   2157s
ep   700 | eps 0.59 | return   257.85 | HO   3.10 | HOF 54.75 | SE  2.15 | loss 0.0975 |   2237s
ep   725 | eps 0.58 | return   268.51 | HO   3.26 | HOF 52.92 | SE  2.16 | loss 0.0847 |   2317s
ep   750 | eps 0.57 | return   274.04 | HO   3.31 | HOF 51.89 | SE  2.16 | loss 0.0921 |   2397s
ep   775 | eps 0.56 | return   274.69 | HO   3.33 | HOF 51.88 | SE  2.16 | loss 0.0936 |   2477s
ep   800 | eps 0.54 | return   273.65 | HO   3.21 | HOF 52.13 | SE  2.16 | loss 0.0829 |   2557s
ep   825 | eps 0.53 | return   275.04 | HO   3.06 | HOF 52.00 | SE  2.16 | loss 0.0736 |   2637s
ep   850 | eps 0.52 | return   279.55 | HO   3.07 | HOF 51.23 | SE  2.17 | loss 0.0676 |   2717s
ep   875 | eps 0.51 | return   286.62 | HO   3.27 | HOF 50.05 | SE  2.18 | loss 0.0630 |   2797s
ep   900 | eps 0.50 | return   291.73 | HO   3.41 | HOF 49.16 | SE  2.18 | loss 0.0622 |   2877s
ep   925 | eps 0.49 | return   296.30 | HO   3.42 | HOF 48.47 | SE  2.18 | loss 0.0639 |   2957s
ep   950 | eps 0.48 | return   298.38 | HO   3.46 | HOF 48.10 | SE  2.19 | loss 0.0635 |   3037s
ep   975 | eps 0.47 | return   304.49 | HO   3.71 | HOF 47.12 | SE  2.20 | loss 0.1427 |   3117s
ep  1000 | eps 0.46 | return   308.54 | HO   3.44 | HOF 46.69 | SE  2.20 | loss 0.0869 |   3197s
ep  1025 | eps 0.44 | return   311.90 | HO   3.58 | HOF 45.97 | SE  2.20 | loss 0.0616 |   3277s
ep  1050 | eps 0.43 | return   316.45 | HO   3.72 | HOF 45.09 | SE  2.21 | loss 0.0595 |   3357s
ep  1075 | eps 0.42 | return   321.66 | HO   3.82 | HOF 44.51 | SE  2.22 | loss 0.1333 |   3437s
