ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep    25 | eps 0.89 | return  -115.21 | HO   2.44 | HOF 68.81 | SE  2.04 | loss 3.5460 |     93s
ep    50 | eps 0.88 | return  -108.14 | HO   2.57 | HOF 67.41 | SE  2.05 | loss 0.3736 |    188s
ep    75 | eps 0.88 | return   -94.02 | HO   2.61 | HOF 65.07 | SE  2.07 | loss 0.1763 |    281s
ep   100 | eps 0.87 | return   -93.66 | HO   2.64 | HOF 64.91 | SE  2.07 | loss 0.1252 |    371s
ep   125 | eps 0.86 | return   -95.29 | HO   2.66 | HOF 65.29 | SE  2.07 | loss 0.1007 |    461s
ep   150 | eps 0.85 | return   -93.72 | HO   2.65 | HOF 65.17 | SE  2.07 | loss 0.1114 |    550s
ep   175 | eps 0.84 | return   -87.95 | HO   2.65 | HOF 64.24 | SE  2.08 | loss 0.1323 |    639s
ep   200 | eps 0.83 | return   -81.65 | HO   2.79 | HOF 62.97 | SE  2.08 | loss 0.1269 |    727s
ep   225 | eps 0.82 | return   -78.10 | HO   2.68 | HOF 62.47 | SE  2.09 | loss 0.1298 |    809s
ep   250 | eps 0.82 | return   -76.21 | HO   2.70 | HOF 62.14 | SE  2.09 | loss 0.1277 |    891s
ep   275 | eps 0.81 | return   -70.43 | HO   2.84 | HOF 61.32 | SE  2.10 | loss 0.1125 |    972s
ep   300 | eps 0.80 | return   -71.45 | HO   2.80 | HOF 61.28 | SE  2.10 | loss 0.1082 |   1053s
ep   325 | eps 0.79 | return   -69.93 | HO   2.74 | HOF 61.07 | SE  2.10 | loss 0.1075 |   1133s
ep   350 | eps 0.78 | return   -69.58 | HO   2.82 | HOF 60.93 | SE  2.10 | loss 0.1203 |   1214s
ep   375 | eps 0.78 | return   -71.18 | HO   2.76 | HOF 61.17 | SE  2.10 | loss 0.1006 |   1295s
ep   400 | eps 0.77 | return   -65.95 | HO   2.85 | HOF 60.23 | SE  2.11 | loss 0.0996 |   1375s
ep   425 | eps 0.76 | return   -63.18 | HO   2.87 | HOF 59.79 | SE  2.11 | loss 0.0856 |   1455s
ep   450 | eps 0.75 | return   -59.38 | HO   2.98 | HOF 59.27 | SE  2.11 | loss 0.0803 |   1535s
ep   475 | eps 0.74 | return   -59.89 | HO   2.84 | HOF 59.26 | SE  2.11 | loss 0.0758 |   1615s
ep   500 | eps 0.73 | return   -60.52 | HO   2.83 | HOF 59.28 | SE  2.11 | loss 0.0772 |   1696s
ep   525 | eps 0.72 | return   -56.18 | HO   2.97 | HOF 58.47 | SE  2.12 | loss 0.0745 |   1782s
ep   550 | eps 0.72 | return   -52.51 | HO   3.12 | HOF 57.84 | SE  2.12 | loss 0.0732 |   1870s
ep   575 | eps 0.71 | return   -49.79 | HO   3.16 | HOF 57.31 | SE  2.13 | loss 0.0898 |   1954s
ep   600 | eps 0.70 | return   -49.04 | HO   3.14 | HOF 57.20 | SE  2.13 | loss 0.0711 |   2034s
ep   625 | eps 0.69 | return   -48.29 | HO   3.14 | HOF 57.00 | SE  2.13 | loss 0.0770 |   2115s
ep   650 | eps 0.68 | return   -45.22 | HO   3.09 | HOF 56.60 | SE  2.13 | loss 0.2618 |   2195s
ep   675 | eps 0.68 | return   -43.70 | HO   2.97 | HOF 56.66 | SE  2.13 | loss 0.1063 |   2276s
ep   700 | eps 0.67 | return   -44.47 | HO   2.96 | HOF 56.68 | SE  2.13 | loss 0.2359 |   2358s
ep   725 | eps 0.66 | return   -43.07 | HO   3.09 | HOF 56.23 | SE  2.14 | loss 0.0681 |   2438s
ep   750 | eps 0.65 | return   -37.19 | HO   3.38 | HOF 55.08 | SE  2.14 | loss 0.0590 |   2522s
ep   775 | eps 0.64 | return   -39.64 | HO   3.06 | HOF 55.71 | SE  2.14 | loss 0.0951 |   2603s
ep   800 | eps 0.63 | return   -39.40 | HO   2.98 | HOF 55.64 | SE  2.14 | loss 0.0835 |   2683s
