ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep    25 | eps 0.89 | return  -118.81 | HO   2.41 | HOF 69.26 | SE  2.03 | loss 3.0042 |     76s
ep    50 | eps 0.88 | return  -103.35 | HO   2.54 | HOF 66.71 | SE  2.06 | loss 0.3007 |    151s
ep    75 | eps 0.88 | return   -92.90 | HO   2.62 | HOF 64.94 | SE  2.07 | loss 0.1640 |    226s
ep   100 | eps 0.87 | return   -93.47 | HO   2.63 | HOF 64.90 | SE  2.07 | loss 0.1186 |    301s
ep   125 | eps 0.86 | return   -94.32 | HO   2.55 | HOF 65.32 | SE  2.07 | loss 0.1006 |    376s
ep   150 | eps 0.85 | return   -96.69 | HO   2.59 | HOF 65.63 | SE  2.07 | loss 0.1174 |    452s
ep   175 | eps 0.84 | return   -87.76 | HO   2.74 | HOF 63.94 | SE  2.08 | loss 0.1327 |    527s
ep   200 | eps 0.83 | return   -82.03 | HO   2.70 | HOF 63.11 | SE  2.08 | loss 0.1314 |    602s
ep   225 | eps 0.82 | return   -75.66 | HO   2.86 | HOF 62.16 | SE  2.09 | loss 0.1350 |    678s
ep   250 | eps 0.82 | return   -70.85 | HO   2.87 | HOF 61.32 | SE  2.10 | loss 0.1302 |    753s
ep   275 | eps 0.81 | return   -73.07 | HO   2.96 | HOF 61.42 | SE  2.10 | loss 0.1167 |    828s
ep   300 | eps 0.80 | return   -75.14 | HO   2.87 | HOF 61.60 | SE  2.09 | loss 0.1220 |    903s
ep   325 | eps 0.79 | return   -69.37 | HO   2.79 | HOF 61.10 | SE  2.10 | loss 0.1782 |    979s
ep   350 | eps 0.78 | return   -68.15 | HO   2.87 | HOF 60.83 | SE  2.10 | loss 0.1855 |   1055s
ep   375 | eps 0.78 | return   -66.39 | HO   2.96 | HOF 60.21 | SE  2.10 | loss 0.0799 |   1130s
ep   400 | eps 0.77 | return   -64.96 | HO   2.87 | HOF 60.15 | SE  2.11 | loss 0.0813 |   1205s
ep   425 | eps 0.76 | return   -63.06 | HO   2.81 | HOF 59.86 | SE  2.11 | loss 0.0813 |   1280s
ep   450 | eps 0.75 | return   -63.66 | HO   2.80 | HOF 60.03 | SE  2.11 | loss 0.0816 |   1355s
ep   475 | eps 0.74 | return   -62.06 | HO   2.78 | HOF 59.81 | SE  2.11 | loss 0.1297 |   1430s
ep   500 | eps 0.73 | return   -61.30 | HO   2.84 | HOF 59.85 | SE  2.11 | loss 0.3002 |   1506s
ep   525 | eps 0.72 | return   -62.87 | HO   2.85 | HOF 59.64 | SE  2.11 | loss 0.0810 |   1581s
ep   550 | eps 0.72 | return   -57.05 | HO   2.96 | HOF 58.71 | SE  2.12 | loss 0.0664 |   1656s
ep   575 | eps 0.71 | return   -50.73 | HO   3.01 | HOF 57.88 | SE  2.13 | loss 0.0671 |   1732s
ep   600 | eps 0.70 | return   -53.12 | HO   2.96 | HOF 57.96 | SE  2.12 | loss 0.0846 |   1807s
ep   625 | eps 0.69 | return   -48.60 | HO   2.96 | HOF 57.52 | SE  2.13 | loss 0.0711 |   1882s
ep   650 | eps 0.68 | return   -51.23 | HO   2.86 | HOF 57.75 | SE  2.12 | loss 0.1295 |   1957s
ep   675 | eps 0.68 | return   -49.43 | HO   3.03 | HOF 57.22 | SE  2.13 | loss 0.2424 |   2032s
ep   700 | eps 0.67 | return   -44.55 | HO   3.16 | HOF 56.54 | SE  2.13 | loss 0.0752 |   2107s
ep   725 | eps 0.66 | return   -45.11 | HO   3.06 | HOF 56.62 | SE  2.13 | loss 0.0612 |   2183s
ep   750 | eps 0.65 | return   -39.24 | HO   3.13 | HOF 55.66 | SE  2.14 | loss 0.0749 |   2258s
ep   775 | eps 0.64 | return   -35.56 | HO   3.15 | HOF 55.13 | SE  2.15 | loss 0.0857 |   2333s
ep   800 | eps 0.63 | return   -38.93 | HO   3.00 | HOF 55.63 | SE  2.14 | loss 0.0755 |   2408s
ep   825 | eps 0.62 | return   -33.45 | HO   3.09 | HOF 54.74 | SE  2.15 | loss 0.2044 |   2483s
ep   850 | eps 0.62 | return   -40.18 | HO   2.91 | HOF 55.61 | SE  2.14 | loss 0.1412 |   2558s
ep   875 | eps 0.61 | return   -30.90 | HO   3.10 | HOF 54.43 | SE  2.15 | loss 0.1496 |   2633s
ep   900 | eps 0.60 | return   -28.27 | HO   3.25 | HOF 53.73 | SE  2.16 | loss 0.0533 |   2708s
ep   925 | eps 0.59 | return   -35.14 | HO   3.08 | HOF 54.92 | SE  2.15 | loss 0.0486 |   2784s
ep   950 | eps 0.58 | return   -23.57 | HO   3.15 | HOF 53.31 | SE  2.16 | loss 0.0458 |   2859s
ep   975 | eps 0.57 | return   -26.64 | HO   3.01 | HOF 53.63 | SE  2.16 | loss 0.0481 |   2934s
ep  1000 | eps 0.57 | return   -22.74 | HO   3.13 | HOF 53.10 | SE  2.16 | loss 0.0488 |   3009s
ep  1025 | eps 0.56 | return   -26.02 | HO   3.01 | HOF 53.17 | SE  2.16 | loss 0.0674 |   3084s
ep  1050 | eps 0.55 | return   -13.83 | HO   3.37 | HOF 51.07 | SE  2.17 | loss 0.1102 |   3159s
ep  1075 | eps 0.54 | return    -9.80 | HO   3.43 | HOF 50.37 | SE  2.18 | loss 0.0479 |   3235s
ep  1100 | eps 0.53 | return   -13.93 | HO   3.20 | HOF 51.37 | SE  2.17 | loss 0.0601 |   3311s
ep  1125 | eps 0.53 | return   -12.01 | HO   3.05 | HOF 51.47 | SE  2.18 | loss 0.1166 |   3386s
ep  1150 | eps 0.52 | return    -7.73 | HO   3.21 | HOF 50.72 | SE  2.19 | loss 0.0494 |   3461s
ep  1175 | eps 0.51 | return    -8.67 | HO   3.15 | HOF 50.47 | SE  2.18 | loss 0.0542 |   3536s
ep  1200 | eps 0.50 | return     1.84 | HO   3.43 | HOF 48.58 | SE  2.20 | loss 0.1076 |   3611s
ep  1225 | eps 0.49 | return     3.67 | HO   3.62 | HOF 47.82 | SE  2.20 | loss 0.0505 |   3686s
ep  1250 | eps 0.48 | return    -8.51 | HO   2.81 | HOF 50.72 | SE  2.18 | loss 0.0860 |   3761s
ep  1275 | eps 0.47 | return     4.80 | HO   3.24 | HOF 48.29 | SE  2.20 | loss 0.0705 |   3837s
ep  1300 | eps 0.47 | return     4.64 | HO   3.25 | HOF 48.25 | SE  2.20 | loss 0.0592 |   3912s
ep  1325 | eps 0.46 | return     3.77 | HO   3.17 | HOF 48.32 | SE  2.20 | loss 0.0955 |   3987s
ep  1350 | eps 0.45 | return    13.30 | HO   3.40 | HOF 46.85 | SE  2.21 | loss 0.0464 |   4062s
ep  1375 | eps 0.44 | return    10.38 | HO   3.25 | HOF 47.16 | SE  2.21 | loss 0.0544 |   4137s
ep  1400 | eps 0.43 | return    17.62 | HO   3.50 | HOF 45.89 | SE  2.22 | loss 0.0392 |   4212s
ep  1425 | eps 0.42 | return    19.51 | HO   3.46 | HOF 45.85 | SE  2.22 | loss 0.0365 |   4287s
ep  1450 | eps 0.42 | return    18.69 | HO   3.34 | HOF 45.76 | SE  2.22 | loss 0.0353 |   4363s
ep  1475 | eps 0.41 | return    24.09 | HO   3.42 | HOF 44.84 | SE  2.22 | loss 0.0354 |   4438s
ep  1500 | eps 0.40 | return    28.56 | HO   3.57 | HOF 43.88 | SE  2.23 | loss 0.0343 |   4514s
ep  1525 | eps 0.39 | return    33.87 | HO   3.52 | HOF 42.96 | SE  2.24 | loss 0.0333 |   4589s
ep  1550 | eps 0.38 | return    37.47 | HO   3.74 | HOF 42.08 | SE  2.24 | loss 0.0324 |   4664s
ep  1575 | eps 0.38 | return    39.31 | HO   3.72 | HOF 41.67 | SE  2.24 | loss 0.0319 |   4739s
ep  1600 | eps 0.37 | return    42.26 | HO   3.75 | HOF 41.11 | SE  2.25 | loss 0.0312 |   4815s
ep  1625 | eps 0.36 | return    43.67 | HO   3.70 | HOF 40.94 | SE  2.25 | loss 0.0306 |   4891s
ep  1650 | eps 0.35 | return    47.92 | HO   3.59 | HOF 40.32 | SE  2.26 | loss 0.0295 |   4966s
ep  1675 | eps 0.34 | return    51.48 | HO   3.77 | HOF 39.61 | SE  2.26 | loss 0.0292 |   5041s
ep  1700 | eps 0.33 | return    56.01 | HO   3.74 | HOF 38.81 | SE  2.27 | loss 0.0282 |   5117s
