ep     1 | eps 0.90 | return   -32.34 | HO   7.30 | HOF 54.99 | SE  2.13 | loss nan |      4s
ep    25 | eps 0.89 | return   -39.78 | HO   7.11 | HOF 56.55 | SE  2.12 | loss 9.3154 |     99s
ep    50 | eps 0.88 | return   -43.86 | HO   7.11 | HOF 57.09 | SE  2.11 | loss 1.1378 |    199s
ep    75 | eps 0.87 | return     1.05 | HO   7.34 | HOF 49.76 | SE  2.18 | loss 0.3767 |    300s
ep   100 | eps 0.86 | return    18.28 | HO   8.10 | HOF 46.46 | SE  2.20 | loss 0.3163 |    400s
ep   125 | eps 0.84 | return    23.16 | HO   8.56 | HOF 45.42 | SE  2.20 | loss 0.2210 |    500s
ep   150 | eps 0.83 | return    24.51 | HO   8.54 | HOF 45.36 | SE  2.20 | loss 0.1749 |    600s
ep   175 | eps 0.82 | return    17.72 | HO   8.16 | HOF 46.46 | SE  2.19 | loss 0.1800 |    700s
ep   200 | eps 0.81 | return    17.09 | HO   7.91 | HOF 46.57 | SE  2.20 | loss 0.1979 |    800s
ep   225 | eps 0.80 | return    24.79 | HO   7.88 | HOF 45.32 | SE  2.21 | loss 0.2034 |    900s
ep   250 | eps 0.79 | return    26.47 | HO   7.51 | HOF 45.67 | SE  2.21 | loss 0.1658 |   1000s
ep   275 | eps 0.78 | return    32.55 | HO   8.41 | HOF 44.04 | SE  2.21 | loss 0.1426 |   1100s
ep   300 | eps 0.77 | return    35.06 | HO   8.63 | HOF 43.39 | SE  2.22 | loss 0.1351 |   1200s
ep   325 | eps 0.76 | return    35.42 | HO   8.33 | HOF 43.62 | SE  2.22 | loss 0.1842 |   1300s
ep   350 | eps 0.74 | return    34.92 | HO   7.97 | HOF 43.91 | SE  2.22 | loss 0.2392 |   1400s
ep   375 | eps 0.73 | return    39.14 | HO   8.47 | HOF 42.99 | SE  2.22 | loss 0.2260 |   1500s
ep   400 | eps 0.72 | return    36.99 | HO   8.31 | HOF 43.17 | SE  2.22 | loss 0.2113 |   1600s
ep   425 | eps 0.71 | return    38.62 | HO   7.64 | HOF 43.39 | SE  2.23 | loss 0.1905 |   1700s
ep   450 | eps 0.70 | return    41.99 | HO   7.70 | HOF 42.91 | SE  2.23 | loss 0.1685 |   1800s
ep   475 | eps 0.69 | return    46.63 | HO   8.78 | HOF 41.11 | SE  2.23 | loss 0.1532 |   1900s
