ep     1 | eps 0.90 | return  -928.53 | HO   0.79 | HOF 186.08 | SE  0.94 | loss nan |     12s
ep    25 | eps 0.89 | return  -932.65 | HO   0.72 | HOF 186.56 | SE  0.94 | loss 0.3907 |    251s
ep    50 | eps 0.88 | return  -927.18 | HO   0.72 | HOF 185.38 | SE  0.94 | loss 0.1520 |    498s
ep    75 | eps 0.87 | return  -931.11 | HO   0.74 | HOF 186.08 | SE  0.94 | loss 0.0891 |    743s
ep   100 | eps 0.86 | return  -933.07 | HO   0.76 | HOF 186.51 | SE  0.94 | loss 0.0667 |    984s
ep   125 | eps 0.84 | return  -928.79 | HO   0.76 | HOF 185.84 | SE  0.94 | loss 0.0605 |   1227s
ep   150 | eps 0.83 | return  -923.07 | HO   0.78 | HOF 184.62 | SE  0.94 | loss 0.0594 |   1470s
ep   175 | eps 0.82 | return  -930.26 | HO   0.79 | HOF 186.12 | SE  0.94 | loss 0.0704 |   1714s
ep   200 | eps 0.81 | return  -925.04 | HO   0.80 | HOF 184.94 | SE  0.94 | loss 0.1064 |   1956s
ep   225 | eps 0.80 | return  -927.20 | HO   0.73 | HOF 185.47 | SE  0.94 | loss 0.4206 |   2197s
ep   250 | eps 0.79 | return  -933.30 | HO   0.67 | HOF 186.61 | SE  0.93 | loss 0.3305 |   2438s
ep   275 | eps 0.78 | return  -934.11 | HO   0.69 | HOF 186.75 | SE  0.93 | loss 0.1247 |   2678s
ep   300 | eps 0.77 | return  -920.65 | HO   0.81 | HOF 184.26 | SE  0.95 | loss 0.1438 |   2919s
ep   325 | eps 0.76 | return  -920.58 | HO   0.79 | HOF 184.20 | SE  0.95 | loss 0.1352 |   3159s
ep   350 | eps 0.74 | return  -919.34 | HO   0.75 | HOF 184.10 | SE  0.95 | loss 0.0907 |   3400s
ep   375 | eps 0.73 | return  -916.52 | HO   0.71 | HOF 183.18 | SE  0.95 | loss 0.0812 |   3641s
ep   400 | eps 0.72 | return  -918.98 | HO   0.74 | HOF 183.82 | SE  0.95 | loss 0.0850 |   3881s
ep   425 | eps 0.71 | return  -920.51 | HO   0.74 | HOF 184.16 | SE  0.95 | loss 0.0857 |   4122s
ep   450 | eps 0.70 | return  -909.30 | HO   0.81 | HOF 181.70 | SE  0.95 | loss 0.0784 |   4363s
ep   475 | eps 0.69 | return  -911.04 | HO   0.85 | HOF 182.35 | SE  0.96 | loss 0.0763 |   4603s
ep   500 | eps 0.68 | return  -912.06 | HO   0.82 | HOF 182.57 | SE  0.96 | loss 0.1092 |   4844s
ep   525 | eps 0.67 | return  -909.93 | HO   0.78 | HOF 182.01 | SE  0.96 | loss 0.1147 |   5085s
ep   550 | eps 0.66 | return  -897.06 | HO   0.90 | HOF 179.55 | SE  0.97 | loss 0.0747 |   5326s
ep   575 | eps 0.64 | return  -898.99 | HO   0.94 | HOF 179.83 | SE  0.97 | loss 0.0547 |   5566s
ep   600 | eps 0.63 | return  -897.47 | HO   0.91 | HOF 179.45 | SE  0.97 | loss 0.0895 |   5807s
ep   625 | eps 0.62 | return  -906.20 | HO   0.78 | HOF 181.39 | SE  0.96 | loss 0.1623 |   6048s
ep   650 | eps 0.61 | return  -897.13 | HO   0.92 | HOF 179.55 | SE  0.97 | loss 0.0665 |   6288s
ep   675 | eps 0.60 | return  -893.68 | HO   0.89 | HOF 178.70 | SE  0.97 | loss 0.1080 |   6528s
ep   700 | eps 0.59 | return  -901.04 | HO   0.88 | HOF 180.53 | SE  0.97 | loss 0.0916 |   6769s
ep   725 | eps 0.58 | return  -904.31 | HO   0.83 | HOF 181.14 | SE  0.97 | loss 0.1106 |   7009s
ep   750 | eps 0.57 | return  -883.24 | HO   1.02 | HOF 176.75 | SE  0.98 | loss 0.0996 |   7250s
ep   775 | eps 0.56 | return  -889.39 | HO   0.95 | HOF 177.93 | SE  0.97 | loss 0.0650 |   7490s
ep   800 | eps 0.54 | return  -880.36 | HO   1.01 | HOF 176.00 | SE  0.98 | loss 0.0617 |   7731s
ep   825 | eps 0.53 | return  -881.18 | HO   1.00 | HOF 176.15 | SE  0.98 | loss 0.0809 |   7972s
ep   850 | eps 0.52 | return  -873.66 | HO   1.13 | HOF 174.82 | SE  0.99 | loss 0.0571 |   8212s
ep   875 | eps 0.51 | return  -871.33 | HO   1.00 | HOF 174.06 | SE  0.99 | loss 0.0488 |   8452s
ep   900 | eps 0.50 | return  -871.65 | HO   1.07 | HOF 174.32 | SE  0.99 | loss 0.0483 |   8692s
ep   925 | eps 0.49 | return  -868.73 | HO   1.11 | HOF 173.68 | SE  0.99 | loss 0.0489 |   8934s
