ep     1 | eps 0.90 | return   -93.93 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   -83.09 | HO   2.91 | HOF 63.04 | SE  2.08 | loss 17.8325 |     77s
ep    50 | eps 0.88 | return   -86.40 | HO   2.82 | HOF 63.45 | SE  2.08 | loss 1.7614 |    156s
ep    75 | eps 0.88 | return   -80.31 | HO   2.87 | HOF 62.71 | SE  2.09 | loss 0.4470 |    233s
ep   100 | eps 0.87 | return   -82.27 | HO   2.92 | HOF 62.83 | SE  2.08 | loss 0.2147 |    311s
ep   125 | eps 0.86 | return   -88.46 | HO   2.72 | HOF 64.11 | SE  2.08 | loss 0.1326 |    389s
ep   150 | eps 0.85 | return   -88.51 | HO   2.78 | HOF 63.80 | SE  2.07 | loss 0.1430 |    467s
ep   175 | eps 0.84 | return   -79.45 | HO   2.81 | HOF 62.47 | SE  2.09 | loss 0.2352 |    546s
ep   200 | eps 0.83 | return   -76.99 | HO   2.87 | HOF 62.06 | SE  2.09 | loss 0.2592 |    625s
ep   225 | eps 0.82 | return   -79.18 | HO   2.93 | HOF 62.04 | SE  2.09 | loss 0.2327 |    704s
ep   250 | eps 0.82 | return   -77.12 | HO   2.89 | HOF 61.73 | SE  2.09 | loss 0.1783 |    784s
ep   275 | eps 0.81 | return   -75.06 | HO   2.97 | HOF 61.32 | SE  2.09 | loss 0.1675 |    863s
ep   300 | eps 0.80 | return   -77.07 | HO   2.84 | HOF 61.78 | SE  2.09 | loss 0.1643 |    942s
ep   325 | eps 0.79 | return   -76.76 | HO   2.79 | HOF 61.71 | SE  2.09 | loss 0.1594 |   1021s
ep   350 | eps 0.78 | return   -71.60 | HO   3.07 | HOF 60.78 | SE  2.10 | loss 0.1655 |   1100s
ep   375 | eps 0.78 | return   -73.53 | HO   2.88 | HOF 61.06 | SE  2.09 | loss 0.1779 |   1180s
ep   400 | eps 0.77 | return   -70.64 | HO   2.90 | HOF 60.67 | SE  2.10 | loss 0.1841 |   1259s
ep   425 | eps 0.76 | return   -73.11 | HO   2.85 | HOF 61.10 | SE  2.10 | loss 0.2139 |   1337s
ep   450 | eps 0.75 | return   -66.95 | HO   2.81 | HOF 60.86 | SE  2.11 | loss 0.2916 |   1415s
ep   475 | eps 0.74 | return   -64.52 | HO   3.00 | HOF 60.10 | SE  2.11 | loss 0.1883 |   1493s
ep   500 | eps 0.73 | return   -65.41 | HO   2.95 | HOF 60.43 | SE  2.11 | loss 0.2235 |   1571s
ep   525 | eps 0.72 | return   -70.90 | HO   2.74 | HOF 61.22 | SE  2.10 | loss 0.1996 |   1649s
ep   550 | eps 0.72 | return   -56.92 | HO   2.96 | HOF 58.33 | SE  2.12 | loss 0.4744 |   1726s
ep   575 | eps 0.71 | return   -70.65 | HO   2.81 | HOF 60.81 | SE  2.10 | loss 0.2420 |   1804s
ep   600 | eps 0.70 | return   -73.73 | HO   2.92 | HOF 61.24 | SE  2.09 | loss 0.4980 |   1882s
ep   625 | eps 0.69 | return   -53.74 | HO   3.26 | HOF 57.25 | SE  2.12 | loss 0.2701 |   1961s
ep   650 | eps 0.68 | return   -55.45 | HO   2.95 | HOF 58.19 | SE  2.12 | loss 0.1516 |   2039s
ep   675 | eps 0.68 | return   -56.73 | HO   2.81 | HOF 58.51 | SE  2.12 | loss 0.1428 |   2118s
