ep     1 | eps 0.90 | return   186.04 | HO   2.35 | HOF 68.21 | SE  2.05 | loss nan |      3s
ep    25 | eps 0.89 | return   206.48 | HO   2.68 | HOF 65.25 | SE  2.07 | loss 5.6719 |     77s
ep    50 | eps 0.88 | return   218.51 | HO   2.84 | HOF 63.41 | SE  2.08 | loss 5.4717 |    154s
ep    75 | eps 0.87 | return   215.32 | HO   2.72 | HOF 63.94 | SE  2.08 | loss 5.3067 |    232s
ep   100 | eps 0.86 | return   217.90 | HO   2.70 | HOF 63.64 | SE  2.08 | loss 5.0671 |    311s
ep   125 | eps 0.84 | return   221.54 | HO   2.86 | HOF 62.90 | SE  2.09 | loss 4.8247 |    391s
ep   150 | eps 0.83 | return   229.71 | HO   2.91 | HOF 61.69 | SE  2.10 | loss 4.6408 |    470s
ep   175 | eps 0.82 | return   236.18 | HO   3.05 | HOF 61.01 | SE  2.10 | loss 4.5509 |    550s
ep   200 | eps 0.81 | return   238.46 | HO   3.16 | HOF 60.18 | SE  2.10 | loss 4.4830 |    630s
ep   225 | eps 0.80 | return   241.77 | HO   3.04 | HOF 60.09 | SE  2.10 | loss 4.4347 |    709s
ep   250 | eps 0.79 | return   244.62 | HO   3.15 | HOF 59.60 | SE  2.11 | loss 4.3438 |    790s
ep   275 | eps 0.78 | return   246.68 | HO   3.22 | HOF 59.18 | SE  2.11 | loss 4.2813 |    871s
ep   300 | eps 0.77 | return   248.89 | HO   3.18 | HOF 59.04 | SE  2.11 | loss 4.2030 |    951s
ep   325 | eps 0.76 | return   251.79 | HO   3.15 | HOF 58.70 | SE  2.11 | loss 4.1216 |   1031s
ep   350 | eps 0.74 | return   252.62 | HO   3.20 | HOF 58.43 | SE  2.11 | loss 4.0080 |   1110s
ep   375 | eps 0.73 | return   254.08 | HO   3.20 | HOF 58.16 | SE  2.11 | loss 3.8740 |   1189s
ep   400 | eps 0.72 | return   258.56 | HO   3.34 | HOF 57.50 | SE  2.12 | loss 3.7729 |   1269s
ep   425 | eps 0.71 | return   263.96 | HO   3.33 | HOF 56.87 | SE  2.12 | loss 3.6684 |   1348s
ep   450 | eps 0.70 | return   266.56 | HO   3.37 | HOF 56.53 | SE  2.13 | loss 3.5899 |   1428s
ep   475 | eps 0.69 | return   269.54 | HO   3.37 | HOF 56.08 | SE  2.13 | loss 3.5367 |   1507s
ep   500 | eps 0.68 | return   271.79 | HO   3.40 | HOF 55.86 | SE  2.13 | loss 3.4450 |   1587s
ep   525 | eps 0.67 | return   274.89 | HO   3.44 | HOF 55.37 | SE  2.14 | loss 3.3482 |   1667s
ep   550 | eps 0.66 | return   278.63 | HO   3.48 | HOF 54.72 | SE  2.14 | loss 3.2743 |   1746s
ep   575 | eps 0.64 | return   279.82 | HO   3.66 | HOF 54.23 | SE  2.14 | loss 3.2075 |   1826s
ep   600 | eps 0.63 | return   284.37 | HO   3.57 | HOF 53.87 | SE  2.14 | loss 3.1323 |   1906s
ep   625 | eps 0.62 | return   287.13 | HO   3.58 | HOF 53.48 | SE  2.15 | loss 3.0898 |   1985s
ep   650 | eps 0.61 | return   289.86 | HO   3.61 | HOF 52.95 | SE  2.15 | loss 3.0305 |   2065s
ep   675 | eps 0.60 | return   296.51 | HO   3.64 | HOF 51.92 | SE  2.16 | loss 2.9598 |   2144s
ep   700 | eps 0.59 | return   296.13 | HO   3.63 | HOF 52.01 | SE  2.16 | loss 2.9326 |   2223s
ep   725 | eps 0.58 | return   301.46 | HO   3.60 | HOF 51.38 | SE  2.16 | loss 2.8697 |   2303s
ep   750 | eps 0.57 | return   304.19 | HO   3.74 | HOF 50.69 | SE  2.17 | loss 2.8080 |   2383s
ep   775 | eps 0.56 | return   309.26 | HO   3.67 | HOF 50.22 | SE  2.17 | loss 2.7475 |   2462s
ep   800 | eps 0.54 | return   311.64 | HO   3.74 | HOF 49.71 | SE  2.18 | loss 2.6774 |   2541s
ep   825 | eps 0.53 | return   319.03 | HO   3.66 | HOF 49.02 | SE  2.18 | loss 2.6168 |   2621s
ep   850 | eps 0.52 | return   318.57 | HO   3.79 | HOF 48.61 | SE  2.18 | loss 2.5625 |   2701s
ep   875 | eps 0.51 | return   324.54 | HO   3.70 | HOF 48.26 | SE  2.19 | loss 2.5221 |   2780s
ep   900 | eps 0.50 | return   327.90 | HO   3.79 | HOF 47.51 | SE  2.19 | loss 2.4590 |   2860s
ep   925 | eps 0.49 | return   333.61 | HO   3.78 | HOF 46.97 | SE  2.20 | loss 2.4201 |   2939s
ep   950 | eps 0.48 | return   334.58 | HO   3.81 | HOF 46.44 | SE  2.20 | loss 2.3700 |   3019s
ep   975 | eps 0.47 | return   340.90 | HO   3.86 | HOF 45.71 | SE  2.21 | loss 2.3234 |   3098s
ep  1000 | eps 0.46 | return   345.80 | HO   3.90 | HOF 44.97 | SE  2.21 | loss 2.2722 |   3178s
ep  1025 | eps 0.44 | return   348.57 | HO   3.93 | HOF 44.61 | SE  2.21 | loss 2.2129 |   3257s
ep  1050 | eps 0.43 | return   351.69 | HO   3.96 | HOF 44.09 | SE  2.21 | loss 2.1849 |   3336s
ep  1075 | eps 0.42 | return   356.51 | HO   4.03 | HOF 43.36 | SE  2.22 | loss 2.1350 |   3415s
ep  1100 | eps 0.41 | return   361.55 | HO   3.90 | HOF 42.97 | SE  2.22 | loss 2.0825 |   3495s
ep  1125 | eps 0.40 | return   366.63 | HO   4.04 | HOF 41.98 | SE  2.23 | loss 2.0356 |   3574s
ep  1150 | eps 0.39 | return   371.18 | HO   3.99 | HOF 41.43 | SE  2.23 | loss 1.9898 |   3653s
ep  1175 | eps 0.38 | return   376.47 | HO   3.92 | HOF 40.70 | SE  2.24 | loss 1.9428 |   3733s
ep  1200 | eps 0.37 | return   380.90 | HO   4.07 | HOF 39.98 | SE  2.24 | loss 1.8931 |   3813s
ep  1225 | eps 0.36 | return   385.43 | HO   4.05 | HOF 39.39 | SE  2.25 | loss 1.8508 |   3892s
ep  1250 | eps 0.34 | return   390.44 | HO   4.13 | HOF 38.58 | SE  2.25 | loss 1.8036 |   3971s
ep  1275 | eps 0.33 | return   396.12 | HO   4.11 | HOF 37.82 | SE  2.26 | loss 1.7442 |   4050s
ep  1300 | eps 0.32 | return   403.28 | HO   4.11 | HOF 36.86 | SE  2.27 | loss 1.6929 |   4130s
