ep     1 | eps 0.90 | return   201.38 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   199.94 | HO   2.43 | HOF 65.98 | SE  2.06 | loss 5.6714 |     77s
ep    50 | eps 0.88 | return   204.82 | HO   2.44 | HOF 65.47 | SE  2.07 | loss 5.5541 |    155s
ep    75 | eps 0.87 | return   221.15 | HO   2.89 | HOF 62.88 | SE  2.08 | loss 5.3197 |    234s
ep   100 | eps 0.86 | return   223.98 | HO   2.94 | HOF 62.48 | SE  2.08 | loss 5.0455 |    312s
ep   125 | eps 0.84 | return   227.15 | HO   3.08 | HOF 61.77 | SE  2.09 | loss 4.7760 |    391s
ep   150 | eps 0.83 | return   231.30 | HO   2.97 | HOF 61.50 | SE  2.09 | loss 4.6170 |    471s
ep   175 | eps 0.82 | return   235.54 | HO   2.97 | HOF 61.06 | SE  2.09 | loss 4.5350 |    550s
ep   200 | eps 0.81 | return   236.16 | HO   3.13 | HOF 60.65 | SE  2.10 | loss 4.4574 |    630s
ep   225 | eps 0.80 | return   239.73 | HO   3.11 | HOF 60.23 | SE  2.10 | loss 4.3715 |    710s
ep   250 | eps 0.79 | return   243.05 | HO   3.23 | HOF 59.57 | SE  2.10 | loss 4.3251 |    790s
ep   275 | eps 0.78 | return   244.25 | HO   3.15 | HOF 59.64 | SE  2.10 | loss 4.2555 |    869s
ep   300 | eps 0.77 | return   250.77 | HO   3.16 | HOF 58.74 | SE  2.11 | loss 4.1863 |    949s
ep   325 | eps 0.76 | return   248.74 | HO   3.12 | HOF 59.12 | SE  2.11 | loss 4.0842 |   1029s
ep   350 | eps 0.74 | return   252.58 | HO   3.02 | HOF 58.79 | SE  2.11 | loss 3.9455 |   1108s
ep   375 | eps 0.73 | return   253.98 | HO   3.08 | HOF 58.60 | SE  2.12 | loss 3.8212 |   1188s
ep   400 | eps 0.72 | return   257.58 | HO   3.27 | HOF 57.67 | SE  2.12 | loss 3.7046 |   1268s
ep   425 | eps 0.71 | return   262.90 | HO   3.27 | HOF 56.97 | SE  2.12 | loss 3.5968 |   1348s
ep   450 | eps 0.70 | return   264.70 | HO   3.33 | HOF 56.67 | SE  2.12 | loss 3.5152 |   1428s
ep   475 | eps 0.69 | return   266.59 | HO   3.33 | HOF 56.40 | SE  2.12 | loss 3.4371 |   1508s
ep   500 | eps 0.68 | return   270.51 | HO   3.34 | HOF 55.87 | SE  2.13 | loss 3.3387 |   1588s
ep   525 | eps 0.67 | return   272.23 | HO   3.46 | HOF 55.54 | SE  2.13 | loss 3.2278 |   1668s
ep   550 | eps 0.66 | return   277.44 | HO   3.47 | HOF 54.67 | SE  2.14 | loss 3.1367 |   1748s
ep   575 | eps 0.64 | return   279.14 | HO   3.49 | HOF 54.43 | SE  2.14 | loss 3.0786 |   1828s
ep   600 | eps 0.63 | return   282.55 | HO   3.50 | HOF 54.12 | SE  2.14 | loss 3.0213 |   1908s
ep   625 | eps 0.62 | return   285.90 | HO   3.56 | HOF 53.45 | SE  2.15 | loss 2.9707 |   1988s
ep   650 | eps 0.61 | return   289.21 | HO   3.55 | HOF 52.93 | SE  2.15 | loss 2.9194 |   2069s
ep   675 | eps 0.60 | return   293.06 | HO   3.58 | HOF 52.34 | SE  2.16 | loss 2.8718 |   2149s
ep   700 | eps 0.59 | return   294.96 | HO   3.54 | HOF 52.18 | SE  2.15 | loss 2.8114 |   2230s
ep   725 | eps 0.58 | return   298.56 | HO   3.72 | HOF 51.43 | SE  2.16 | loss 2.7780 |   2308s
ep   750 | eps 0.57 | return   302.73 | HO   3.62 | HOF 51.16 | SE  2.16 | loss 2.7438 |   2386s
ep   775 | eps 0.56 | return   304.64 | HO   3.64 | HOF 50.78 | SE  2.17 | loss 2.6835 |   2464s
ep   800 | eps 0.54 | return   309.14 | HO   3.63 | HOF 50.36 | SE  2.17 | loss 2.6489 |   2542s
ep   825 | eps 0.53 | return   314.56 | HO   3.76 | HOF 49.40 | SE  2.17 | loss 2.6104 |   2620s
ep   850 | eps 0.52 | return   319.15 | HO   3.73 | HOF 48.77 | SE  2.18 | loss 2.5753 |   2698s
ep   875 | eps 0.51 | return   324.68 | HO   3.84 | HOF 47.91 | SE  2.19 | loss 2.5187 |   2777s
ep   900 | eps 0.50 | return   325.55 | HO   3.86 | HOF 47.85 | SE  2.19 | loss 2.4851 |   2856s
ep   925 | eps 0.49 | return   331.15 | HO   3.88 | HOF 47.12 | SE  2.19 | loss 2.4412 |   2934s
ep   950 | eps 0.48 | return   334.37 | HO   3.97 | HOF 46.54 | SE  2.20 | loss 2.3836 |   3013s
ep   975 | eps 0.47 | return   336.92 | HO   3.93 | HOF 46.09 | SE  2.20 | loss 2.3398 |   3091s
ep  1000 | eps 0.46 | return   344.01 | HO   3.94 | HOF 45.21 | SE  2.21 | loss 2.2924 |   3169s
ep  1025 | eps 0.44 | return   346.92 | HO   4.06 | HOF 44.65 | SE  2.21 | loss 2.2440 |   3247s
ep  1050 | eps 0.43 | return   351.34 | HO   4.06 | HOF 43.97 | SE  2.21 | loss 2.1993 |   3326s
ep  1075 | eps 0.42 | return   354.77 | HO   4.05 | HOF 43.62 | SE  2.21 | loss 2.1615 |   3404s
ep  1100 | eps 0.41 | return   359.55 | HO   4.06 | HOF 42.78 | SE  2.22 | loss 2.1112 |   3483s
ep  1125 | eps 0.40 | return   363.97 | HO   4.10 | HOF 42.24 | SE  2.22 | loss 2.0596 |   3562s
ep  1150 | eps 0.39 | return   368.77 | HO   4.18 | HOF 41.36 | SE  2.23 | loss 2.0234 |   3640s
ep  1175 | eps 0.38 | return   374.64 | HO   4.16 | HOF 40.68 | SE  2.24 | loss 1.9746 |   3719s
ep  1200 | eps 0.37 | return   379.47 | HO   4.12 | HOF 40.11 | SE  2.24 | loss 1.9166 |   3798s
ep  1225 | eps 0.36 | return   381.95 | HO   4.41 | HOF 39.23 | SE  2.24 | loss 1.8780 |   3876s
ep  1250 | eps 0.34 | return   387.14 | HO   4.42 | HOF 38.55 | SE  2.25 | loss 1.8303 |   3954s
ep  1275 | eps 0.33 | return   392.00 | HO   4.36 | HOF 37.86 | SE  2.26 | loss 1.7704 |   4033s
ep  1300 | eps 0.32 | return   400.06 | HO   4.35 | HOF 37.03 | SE  2.26 | loss 1.7186 |   4112s
ep  1325 | eps 0.31 | return   404.43 | HO   4.36 | HOF 36.47 | SE  2.27 | loss 1.6777 |   4190s
ep  1350 | eps 0.30 | return   408.57 | HO   4.37 | HOF 35.72 | SE  2.27 | loss 1.6137 |   4268s
ep  1375 | eps 0.29 | return   414.75 | HO   4.51 | HOF 34.69 | SE  2.28 | loss 1.5747 |   4346s
ep  1400 | eps 0.28 | return   421.64 | HO   4.39 | HOF 33.90 | SE  2.28 | loss 1.5262 |   4425s
ep  1425 | eps 0.27 | return   427.82 | HO   4.32 | HOF 33.28 | SE  2.29 | loss 1.4748 |   4503s
ep  1450 | eps 0.26 | return   433.14 | HO   4.39 | HOF 32.42 | SE  2.29 | loss 1.4386 |   4581s
ep  1475 | eps 0.24 | return   441.05 | HO   4.37 | HOF 31.43 | SE  2.30 | loss 1.3911 |   4660s
ep  1500 | eps 0.23 | return   445.71 | HO   4.54 | HOF 30.36 | SE  2.30 | loss 1.3330 |   4738s
ep  1525 | eps 0.22 | return   451.97 | HO   4.67 | HOF 29.27 | SE  2.32 | loss 1.2832 |   4817s
ep  1550 | eps 0.21 | return   459.48 | HO   4.70 | HOF 28.21 | SE  2.32 | loss 1.2299 |   4896s
ep  1575 | eps 0.20 | return   464.74 | HO   4.59 | HOF 27.51 | SE  2.33 | loss 1.1770 |   4974s
ep  1600 | eps 0.19 | return   471.09 | HO   4.68 | HOF 26.47 | SE  2.33 | loss 1.1214 |   5053s
ep  1625 | eps 0.18 | return   479.59 | HO   4.55 | HOF 25.52 | SE  2.34 | loss 1.0827 |   5132s
ep  1650 | eps 0.17 | return   483.94 | HO   4.60 | HOF 24.75 | SE  2.34 | loss 1.0257 |   5211s
ep  1675 | eps 0.16 | return   493.77 | HO   4.64 | HOF 23.45 | SE  2.35 | loss 0.9783 |   5290s
ep  1700 | eps 0.14 | return   502.15 | HO   4.68 | HOF 22.27 | SE  2.36 | loss 0.9325 |   5369s
ep  1725 | eps 0.13 | return   507.98 | HO   4.71 | HOF 21.15 | SE  2.36 | loss 0.8986 |   5447s
ep  1750 | eps 0.12 | return   515.21 | HO   4.94 | HOF 19.79 | SE  2.37 | loss 0.8374 |   5526s
ep  1775 | eps 0.11 | return   525.93 | HO   4.91 | HOF 18.71 | SE  2.38 | loss 0.7826 |   5604s
ep  1800 | eps 0.10 | return   532.99 | HO   4.94 | HOF 17.23 | SE  2.39 | loss 0.7520 |   5682s
ep  1825 | eps 0.10 | return   537.45 | HO   4.95 | HOF 16.60 | SE  2.39 | loss 0.6895 |   5761s
ep  1850 | eps 0.10 | return   535.65 | HO   5.02 | HOF 16.71 | SE  2.39 | loss 0.6370 |   5839s
ep  1875 | eps 0.10 | return   536.65 | HO   4.91 | HOF 16.69 | SE  2.39 | loss 0.6092 |   5919s
ep  1900 | eps 0.10 | return   537.56 | HO   4.75 | HOF 16.66 | SE  2.40 | loss 0.5714 |   5997s
ep  1925 | eps 0.10 | return   539.90 | HO   4.73 | HOF 16.92 | SE  2.39 | loss 0.5573 |   6076s
ep  1950 | eps 0.10 | return   538.89 | HO   4.64 | HOF 16.93 | SE  2.39 | loss 0.5367 |   6155s
ep  1975 | eps 0.10 | return   539.85 | HO   4.62 | HOF 16.80 | SE  2.39 | loss 0.5293 |   6234s
ep  2000 | eps 0.10 | return   538.72 | HO   4.61 | HOF 16.91 | SE  2.39 | loss 0.5261 |   6313s
ep  2025 | eps 0.10 | return   540.12 | HO   4.59 | HOF 16.93 | SE  2.39 | loss 0.5215 |   6392s
ep  2050 | eps 0.10 | return   542.75 | HO   4.50 | HOF 17.15 | SE  2.40 | loss 0.5200 |   6470s
ep  2075 | eps 0.10 | return   542.53 | HO   4.39 | HOF 16.87 | SE  2.40 | loss 0.5145 |   6549s
ep  2100 | eps 0.10 | return   537.79 | HO   4.57 | HOF 17.01 | SE  2.39 | loss 0.5116 |   6629s
ep  2125 | eps 0.10 | return   537.62 | HO   4.38 | HOF 16.93 | SE  2.40 | loss 0.5048 |   6707s
ep  2150 | eps 0.10 | return   538.84 | HO   4.28 | HOF 17.11 | SE  2.40 | loss 0.5013 |   6786s
ep  2175 | eps 0.10 | return   537.21 | HO   4.40 | HOF 16.98 | SE  2.40 | loss 0.4971 |   6865s
ep  2200 | eps 0.10 | return   539.94 | HO   4.30 | HOF 17.06 | SE  2.40 | loss 0.4943 |   6944s
ep  2225 | eps 0.10 | return   538.06 | HO   4.53 | HOF 17.08 | SE  2.39 | loss 0.4907 |   7023s
ep  2250 | eps 0.10 | return   540.20 | HO   4.59 | HOF 16.98 | SE  2.39 | loss 0.4879 |   7101s
ep  2275 | eps 0.10 | return   538.79 | HO   4.49 | HOF 17.24 | SE  2.39 | loss 0.4881 |   7180s
ep  2300 | eps 0.10 | return   536.16 | HO   4.51 | HOF 17.25 | SE  2.39 | loss 0.4878 |   7258s
