ep     1 | eps 0.90 | return   306.52 | HO   7.15 | HOF 20.92 | SE  2.66 | loss nan |      2s
ep    25 | eps 0.88 | return   305.15 | HO   6.86 | HOF 21.40 | SE  2.66 | loss 4.8932 |     46s
ep    50 | eps 0.87 | return   309.30 | HO   6.81 | HOF 20.99 | SE  2.66 | loss 2.4311 |     96s
ep    75 | eps 0.85 | return   310.24 | HO   6.80 | HOF 20.78 | SE  2.67 | loss 0.4894 |    148s
ep   100 | eps 0.83 | return   313.65 | HO   6.88 | HOF 20.36 | SE  2.67 | loss 0.3803 |    198s
ep   125 | eps 0.82 | return   313.22 | HO   6.78 | HOF 20.31 | SE  2.67 | loss 0.2532 |    248s
ep   150 | eps 0.80 | return   313.00 | HO   6.79 | HOF 20.34 | SE  2.67 | loss 0.1927 |    299s
ep   175 | eps 0.78 | return   315.59 | HO   6.72 | HOF 19.98 | SE  2.68 | loss 0.1617 |    350s
ep   200 | eps 0.77 | return   314.95 | HO   6.83 | HOF 19.82 | SE  2.68 | loss 0.1440 |    401s
ep   225 | eps 0.75 | return   317.16 | HO   6.75 | HOF 19.67 | SE  2.68 | loss 0.1292 |    453s
ep   250 | eps 0.73 | return   315.16 | HO   6.80 | HOF 19.94 | SE  2.67 | loss 0.1135 |    503s
ep   275 | eps 0.72 | return   317.99 | HO   6.79 | HOF 19.59 | SE  2.68 | loss 0.1066 |    554s
ep   300 | eps 0.70 | return   317.15 | HO   6.68 | HOF 19.84 | SE  2.68 | loss 0.0985 |    606s
ep   325 | eps 0.68 | return   317.81 | HO   6.77 | HOF 19.70 | SE  2.68 | loss 0.0933 |    656s
ep   350 | eps 0.67 | return   316.79 | HO   6.73 | HOF 19.86 | SE  2.67 | loss 0.0877 |    706s
ep   375 | eps 0.65 | return   317.87 | HO   6.70 | HOF 19.79 | SE  2.68 | loss 0.0828 |    759s
ep   400 | eps 0.63 | return   316.81 | HO   6.74 | HOF 19.82 | SE  2.68 | loss 0.0816 |    809s
ep   425 | eps 0.62 | return   317.80 | HO   6.73 | HOF 19.62 | SE  2.68 | loss 0.0784 |    860s
ep   450 | eps 0.60 | return   314.02 | HO   6.69 | HOF 19.94 | SE  2.67 | loss 0.0785 |    912s
ep   475 | eps 0.58 | return   314.28 | HO   6.75 | HOF 19.67 | SE  2.67 | loss 0.0775 |    962s
ep   500 | eps 0.57 | return   317.01 | HO   6.79 | HOF 19.03 | SE  2.68 | loss 0.0778 |   1013s
ep   525 | eps 0.55 | return   324.86 | HO   6.62 | HOF 18.16 | SE  2.69 | loss 0.0788 |   1065s
ep   550 | eps 0.53 | return   332.91 | HO   6.86 | HOF 16.83 | SE  2.71 | loss 0.0794 |   1116s
ep   575 | eps 0.52 | return   336.74 | HO   6.92 | HOF 16.16 | SE  2.71 | loss 0.0770 |   1166s
ep   600 | eps 0.50 | return   339.53 | HO   6.93 | HOF 15.67 | SE  2.71 | loss 0.0727 |   1217s
ep   625 | eps 0.48 | return   344.27 | HO   6.89 | HOF 15.08 | SE  2.72 | loss 0.0679 |   1268s
ep   650 | eps 0.47 | return   346.66 | HO   6.86 | HOF 14.64 | SE  2.72 | loss 0.0670 |   1319s
ep   675 | eps 0.45 | return   350.73 | HO   6.82 | HOF 14.17 | SE  2.73 | loss 0.0697 |   1371s
ep   700 | eps 0.43 | return   353.29 | HO   6.78 | HOF 13.69 | SE  2.74 | loss 0.0822 |   1421s
ep   725 | eps 0.42 | return   353.33 | HO   6.81 | HOF 13.54 | SE  2.74 | loss 0.0712 |   1472s
ep   750 | eps 0.40 | return   354.91 | HO   6.81 | HOF 13.21 | SE  2.74 | loss 0.0675 |   1524s
ep   775 | eps 0.38 | return   358.88 | HO   6.76 | HOF 12.67 | SE  2.74 | loss 0.0708 |   1574s
ep   800 | eps 0.37 | return   361.50 | HO   6.78 | HOF 12.24 | SE  2.75 | loss 0.0695 |   1625s
ep   825 | eps 0.35 | return   363.13 | HO   6.83 | HOF 11.83 | SE  2.75 | loss 0.0691 |   1677s
ep   850 | eps 0.33 | return   365.38 | HO   6.85 | HOF 11.47 | SE  2.75 | loss 0.0692 |   1728s
ep   875 | eps 0.32 | return   366.19 | HO   6.87 | HOF 11.16 | SE  2.75 | loss 0.0607 |   1778s
ep   900 | eps 0.30 | return   369.15 | HO   6.90 | HOF 10.81 | SE  2.76 | loss 0.0662 |   1830s
ep   925 | eps 0.28 | return   368.92 | HO   6.87 | HOF 10.95 | SE  2.76 | loss 0.0773 |   1880s
ep   950 | eps 0.27 | return   369.17 | HO   6.92 | HOF 10.88 | SE  2.76 | loss 0.1241 |   1931s
ep   975 | eps 0.25 | return   383.73 | HO   6.83 | HOF  9.16 | SE  2.77 | loss 0.2406 |   1983s
ep  1000 | eps 0.23 | return   387.64 | HO   6.82 | HOF  8.45 | SE  2.78 | loss 0.2144 |   2034s
ep  1025 | eps 0.22 | return   385.97 | HO   6.88 | HOF  8.48 | SE  2.79 | loss 0.0670 |   2084s
ep  1050 | eps 0.20 | return   385.38 | HO   6.92 | HOF  7.85 | SE  2.78 | loss 0.0506 |   2136s
ep  1075 | eps 0.18 | return   385.06 | HO   7.02 | HOF  7.46 | SE  2.78 | loss 0.0466 |   2187s
ep  1100 | eps 0.17 | return   385.97 | HO   7.00 | HOF  6.86 | SE  2.77 | loss 0.0448 |   2237s
ep  1125 | eps 0.15 | return   383.90 | HO   7.09 | HOF  6.48 | SE  2.76 | loss 0.0437 |   2289s
ep  1150 | eps 0.13 | return   388.96 | HO   6.99 | HOF  6.10 | SE  2.77 | loss 0.0446 |   2340s
ep  1175 | eps 0.12 | return   394.62 | HO   6.95 | HOF  5.39 | SE  2.77 | loss 0.0452 |   2390s
ep  1200 | eps 0.10 | return   398.67 | HO   7.01 | HOF  4.58 | SE  2.77 | loss 0.0459 |   2442s
