ep     1 | eps 0.90 | return   298.01 | HO   7.15 | HOF 20.92 | SE  2.66 | loss nan |      2s
ep    25 | eps 0.88 | return   299.06 | HO   6.83 | HOF 21.33 | SE  2.66 | loss 3.6186 |     45s
ep    50 | eps 0.87 | return   304.39 | HO   6.80 | HOF 20.90 | SE  2.67 | loss 3.5989 |     94s
ep    75 | eps 0.85 | return   304.47 | HO   6.82 | HOF 20.76 | SE  2.67 | loss 3.5524 |    145s
ep   100 | eps 0.83 | return   308.78 | HO   6.89 | HOF 20.32 | SE  2.68 | loss 3.4859 |    194s
ep   125 | eps 0.82 | return   310.05 | HO   6.77 | HOF 20.32 | SE  2.67 | loss 3.4480 |    244s
ep   150 | eps 0.80 | return   312.21 | HO   6.70 | HOF 20.20 | SE  2.67 | loss 3.3900 |    295s
ep   175 | eps 0.78 | return   313.38 | HO   6.82 | HOF 19.81 | SE  2.68 | loss 3.3046 |    344s
ep   200 | eps 0.77 | return   312.70 | HO   6.89 | HOF 19.66 | SE  2.68 | loss 3.2611 |    394s
ep   225 | eps 0.75 | return   316.26 | HO   6.84 | HOF 19.40 | SE  2.68 | loss 3.1624 |    445s
ep   250 | eps 0.73 | return   317.33 | HO   6.88 | HOF 19.19 | SE  2.68 | loss 3.0686 |    494s
ep   275 | eps 0.72 | return   322.23 | HO   6.81 | HOF 18.68 | SE  2.69 | loss 2.9580 |    544s
ep   300 | eps 0.70 | return   322.88 | HO   6.81 | HOF 18.61 | SE  2.69 | loss 2.8569 |    595s
ep   325 | eps 0.68 | return   325.70 | HO   6.91 | HOF 18.04 | SE  2.70 | loss 2.7413 |    644s
ep   350 | eps 0.67 | return   325.76 | HO   6.84 | HOF 18.18 | SE  2.69 | loss 2.6585 |    694s
ep   375 | eps 0.65 | return   329.95 | HO   6.89 | HOF 17.56 | SE  2.70 | loss 2.5309 |    745s
ep   400 | eps 0.63 | return   331.23 | HO   6.84 | HOF 17.42 | SE  2.70 | loss 2.4689 |    794s
ep   425 | eps 0.62 | return   333.15 | HO   6.89 | HOF 17.12 | SE  2.70 | loss 2.4571 |    845s
ep   450 | eps 0.60 | return   335.28 | HO   6.81 | HOF 16.89 | SE  2.70 | loss 2.3635 |    896s
ep   475 | eps 0.58 | return   334.64 | HO   6.89 | HOF 16.73 | SE  2.70 | loss 2.2979 |    945s
ep   500 | eps 0.57 | return   328.46 | HO   7.00 | HOF 16.31 | SE  2.70 | loss 2.2774 |    995s
ep   525 | eps 0.55 | return   334.42 | HO   6.86 | HOF 15.70 | SE  2.71 | loss 2.2221 |   1047s
ep   550 | eps 0.53 | return   337.14 | HO   6.91 | HOF 15.14 | SE  2.72 | loss 2.1749 |   1096s
ep   575 | eps 0.52 | return   335.42 | HO   6.96 | HOF 15.08 | SE  2.71 | loss 2.1303 |   1146s
ep   600 | eps 0.50 | return   336.75 | HO   6.98 | HOF 14.88 | SE  2.71 | loss 2.1091 |   1197s
ep   625 | eps 0.48 | return   338.91 | HO   6.92 | HOF 14.46 | SE  2.72 | loss 2.0655 |   1247s
ep   650 | eps 0.47 | return   340.49 | HO   6.90 | HOF 14.23 | SE  2.72 | loss 2.0738 |   1310s
ep   675 | eps 0.45 | return   347.74 | HO   6.86 | HOF 13.67 | SE  2.73 | loss 2.0277 |   1362s
ep   700 | eps 0.43 | return   348.48 | HO   6.81 | HOF 13.38 | SE  2.73 | loss 2.0240 |   1413s
ep   725 | eps 0.42 | return   350.24 | HO   6.76 | HOF 13.06 | SE  2.73 | loss 1.9627 |   1465s
ep   750 | eps 0.40 | return   350.92 | HO   6.90 | HOF 12.66 | SE  2.74 | loss 1.9171 |   1516s
ep   775 | eps 0.38 | return   360.45 | HO   6.83 | HOF 12.11 | SE  2.74 | loss 1.8210 |   1566s
ep   800 | eps 0.37 | return   369.33 | HO   6.74 | HOF 11.89 | SE  2.75 | loss 1.8377 |   1615s
ep   825 | eps 0.35 | return   372.01 | HO   6.89 | HOF 11.37 | SE  2.75 | loss 1.7856 |   1665s
ep   850 | eps 0.33 | return   372.64 | HO   6.91 | HOF 10.96 | SE  2.76 | loss 1.7222 |   1715s
ep   875 | eps 0.32 | return   373.02 | HO   6.82 | HOF 10.71 | SE  2.75 | loss 1.7223 |   1764s
ep   900 | eps 0.30 | return   371.05 | HO   6.98 | HOF 10.18 | SE  2.75 | loss 1.6854 |   1815s
ep   925 | eps 0.28 | return   377.02 | HO   6.93 | HOF  9.61 | SE  2.76 | loss 1.6344 |   1865s
ep   950 | eps 0.27 | return   384.97 | HO   6.81 | HOF  9.20 | SE  2.77 | loss 1.5825 |   1915s
ep   975 | eps 0.25 | return   385.88 | HO   6.82 | HOF  8.71 | SE  2.77 | loss 1.5396 |   1966s
ep  1000 | eps 0.23 | return   391.37 | HO   6.78 | HOF  8.25 | SE  2.77 | loss 1.4849 |   2016s
ep  1025 | eps 0.22 | return   395.87 | HO   6.79 | HOF  7.62 | SE  2.78 | loss 1.4669 |   2065s
ep  1050 | eps 0.20 | return   392.98 | HO   6.82 | HOF  7.23 | SE  2.77 | loss 1.4382 |   2116s
ep  1075 | eps 0.18 | return   393.41 | HO   6.77 | HOF  6.63 | SE  2.78 | loss 1.3881 |   2166s
ep  1100 | eps 0.17 | return   395.00 | HO   6.82 | HOF  5.99 | SE  2.78 | loss 1.3628 |   2215s
ep  1125 | eps 0.15 | return   395.70 | HO   6.82 | HOF  5.74 | SE  2.76 | loss 1.3136 |   2266s
ep  1150 | eps 0.13 | return   399.97 | HO   6.78 | HOF  5.06 | SE  2.78 | loss 1.2838 |   2316s
ep  1175 | eps 0.12 | return   401.68 | HO   6.86 | HOF  4.35 | SE  2.77 | loss 1.1983 |   2365s
ep  1200 | eps 0.10 | return   399.66 | HO   6.89 | HOF  3.63 | SE  2.76 | loss 1.1418 |   2417s
ep  1225 | eps 0.10 | return   398.30 | HO   6.86 | HOF  3.29 | SE  2.76 | loss 1.0841 |   2467s
ep  1250 | eps 0.10 | return   393.94 | HO   7.00 | HOF  3.27 | SE  2.74 | loss 0.9865 |   2517s
ep  1275 | eps 0.10 | return   394.40 | HO   6.95 | HOF  3.27 | SE  2.75 | loss 1.0259 |   2568s
ep  1300 | eps 0.10 | return   392.33 | HO   6.91 | HOF  3.28 | SE  2.75 | loss 0.9218 |   2617s
ep  1325 | eps 0.10 | return   385.65 | HO   6.91 | HOF  3.47 | SE  2.74 | loss 0.9124 |   2669s
ep  1350 | eps 0.10 | return   385.01 | HO   6.88 | HOF  3.44 | SE  2.74 | loss 0.8488 |   2719s
ep  1375 | eps 0.10 | return   380.75 | HO   6.89 | HOF  3.45 | SE  2.73 | loss 0.8677 |   2768s
ep  1400 | eps 0.10 | return   379.78 | HO   6.73 | HOF  3.47 | SE  2.73 | loss 0.7963 |   2818s
ep  1425 | eps 0.10 | return   376.36 | HO   6.81 | HOF  3.55 | SE  2.73 | loss 0.7855 |   2869s
ep  1450 | eps 0.10 | return   376.51 | HO   6.77 | HOF  3.47 | SE  2.73 | loss 0.7129 |   2919s
ep  1475 | eps 0.10 | return   374.15 | HO   6.76 | HOF  3.57 | SE  2.73 | loss 0.7030 |   2969s
ep  1500 | eps 0.10 | return   373.07 | HO   6.71 | HOF  3.51 | SE  2.72 | loss 0.6615 |   3020s
ep  1525 | eps 0.10 | return   374.05 | HO   6.57 | HOF  3.57 | SE  2.73 | loss 0.6340 |   3069s
ep  1550 | eps 0.10 | return   371.62 | HO   6.65 | HOF  3.60 | SE  2.72 | loss 0.6028 |   3118s
ep  1575 | eps 0.10 | return   372.50 | HO   6.68 | HOF  3.59 | SE  2.72 | loss 0.5917 |   3169s
ep  1600 | eps 0.10 | return   371.15 | HO   6.71 | HOF  3.51 | SE  2.72 | loss 0.5654 |   3219s
ep  1625 | eps 0.10 | return   372.55 | HO   6.58 | HOF  3.62 | SE  2.72 | loss 0.5586 |   3268s
ep  1650 | eps 0.10 | return   371.32 | HO   6.72 | HOF  3.43 | SE  2.72 | loss 0.5426 |   3319s
ep  1675 | eps 0.10 | return   373.42 | HO   6.65 | HOF  3.56 | SE  2.72 | loss 0.5264 |   3368s
ep  1700 | eps 0.10 | return   373.97 | HO   6.71 | HOF  3.49 | SE  2.72 | loss 0.5230 |   3417s
ep  1725 | eps 0.10 | return   372.55 | HO   6.82 | HOF  3.50 | SE  2.72 | loss 0.5176 |   3469s
ep  1750 | eps 0.10 | return   372.17 | HO   6.95 | HOF  3.55 | SE  2.71 | loss 0.5090 |   3519s
ep  1775 | eps 0.10 | return   375.62 | HO   7.09 | HOF  3.42 | SE  2.71 | loss 0.5053 |   3569s
ep  1800 | eps 0.10 | return   378.43 | HO   7.24 | HOF  3.16 | SE  2.71 | loss 0.5035 |   3620s
ep  1825 | eps 0.10 | return   383.15 | HO   7.38 | HOF  3.23 | SE  2.71 | loss 0.5013 |   3669s
ep  1850 | eps 0.10 | return   387.08 | HO   7.33 | HOF  3.27 | SE  2.71 | loss 0.4965 |   3719s
ep  1875 | eps 0.10 | return   389.61 | HO   7.47 | HOF  3.21 | SE  2.71 | loss 0.5022 |   3770s
ep  1900 | eps 0.10 | return   392.76 | HO   7.45 | HOF  3.14 | SE  2.71 | loss 0.4869 |   3820s
ep  1925 | eps 0.10 | return   393.93 | HO   7.41 | HOF  3.07 | SE  2.71 | loss 0.4932 |   3869s
ep  1950 | eps 0.10 | return   391.14 | HO   7.50 | HOF  3.10 | SE  2.71 | loss 0.4960 |   3920s
ep  1975 | eps 0.10 | return   393.30 | HO   7.35 | HOF  3.18 | SE  2.71 | loss 0.4848 |   3970s
ep  2000 | eps 0.10 | return   393.83 | HO   7.43 | HOF  3.11 | SE  2.71 | loss 0.4877 |   4019s
